model,stock,n_test,mape
cnn_multi,OXY,100,0.021546477001251865
lstm_single,OXY,100,0.028779027972153138
lstm_multi,OXY,100,0.021552839626688955
gru_single,OXY,100,0.03476714773675132
gru_multi,OXY,100,0.018947045019061363
prophet,BA,100,0.04119840160447345
ann_single,BA,100,0.04648870948364055
ann_multi,BA,100,0.02379483931720129
cnn_single,BA,100,0.027926765466081575
cnn_multi,BA,100,0.02283747688464055
lstm_single,BA,100,0.020926038467410975
lstm_multi,BA,100,0.024277011285704336
gru_single,BA,100,0.02075842623854428
gru_multi,BA,100,0.022228152798416865
prophet,GE,100,0.0880963946598074
ann_single,GE,100,0.0741738198371806
ann_multi,GE,100,0.028793211426935042
cnn_single,GE,100,0.041704374944020364
cnn_multi,GE,100,0.027319517882275216
lstm_single,GE,100,0.027113381112656418
lstm_multi,GE,100,0.024499180843349663
gru_single,GE,100,0.023426222818759543
gru_multi,GE,100,0.023463877537279014
prophet,GM,100,0.03216954991004164
ann_single,GM,100,0.06533621963499203
ann_multi,GM,100,0.020282839810997096
cnn_single,GM,100,0.07511109739316182
cnn_multi,GM,100,0.019946505867051954
lstm_single,GM,100,0.022147950186446556
lstm_multi,GM,100,0.019519873684629385
gru_single,GM,100,0.021163458132664986
gru_multi,GM,100,0.021619830175806803
prophet,AAPL,200,0.041276462663220465
ann_single,AAPL,200,0.04798696565830341
ann_multi,AAPL,200,0.031659790488518615
cnn_single,AAPL,200,0.10167872810907835
cnn_multi,AAPL,200,0.038027221752447035
lstm_single,AAPL,200,0.04625472868369387
lstm_multi,AAPL,200,0.03693715532602505
gru_single,AAPL,200,0.012413292802980248
gru_multi,AAPL,200,0.033027074860413605
prophet,UAL,200,0.06133049874442037
ann_single,UAL,200,0.039130423101720144
ann_multi,UAL,200,0.039529420326143504
cnn_single,UAL,200,0.08581011890576011
cnn_multi,UAL,200,0.05590952911104807
lstm_single,UAL,200,0.029980001950598575
lstm_multi,UAL,200,0.029450614302069918
gru_single,UAL,200,0.17311597954952995
gru_multi,UAL,200,0.02769749120520981
prophet,WMT,200,0.018315918920921628
ann_single,WMT,200,0.022463376823844125
ann_multi,WMT,200,0.021917368767434615
cnn_single,WMT,200,0.08972679862011505
cnn_multi,WMT,200,0.021534485565846043
lstm_single,WMT,200,0.03868988249460874
lstm_multi,WMT,200,0.02100110724789577
gru_single,WMT,200,0.03997314897848795
gru_multi,WMT,200,0.0201466018378673
